locus.pool,Category
Pf3D7_06_v3-857454-857753-2,Diagnostic
Pf3D7_08_v3-1365750-1365999-2,Diagnostic
Pf3D7_08_v3-1366575-1366822-2,Diagnostic
Pf3D7_08_v3-1370814-1371045-2,Diagnostic
Pf3D7_08_v3-1375205-1375450-2,Diagnostic
Pf3D7_08_v3-1386786-1387035-2,Diagnostic
Pf3D7_11_v3-1902041-1902278-2,Diagnostic
Pf3D7_11_v3-1950431-1950680-2,Diagnostic
Pf3D7_11_v3-1968050-1968296-2,Diagnostic
Pf3D7_11_v3-2001725-2001999-2,Diagnostic
Pf3D7_13_v3-2770591-2770863-2,Diagnostic
Pf3D7_13_v3-2814583-2814832-2,Diagnostic
Pf3D7_13_v3-2840447-2840746-2,Diagnostic
Pf3D7_03_v3-221295-221532-2,Immune
Pf3D7_03_v3-980853-981120-2,Immune
Pf3D7_04_v3-1083299-1083563-2,Immune
Pf3D7_04_v3-748585-748822-2,Resistance
Pf3D7_07_v3-403487-403750-2,Resistance
Pf3D7_07_v3-405517-405773-2,Resistance
Pf3D7_08_v3-550057-550318-2,Resistance
Pf3D7_12_v3-2092654-2092884-2,Resistance
Pf3D7_13_v3-1725124-1725365-2,Resistance
Pf3D7_13_v3-1725379-1725652-2,Resistance
Pf3D7_13_v3-1725887-1726123-2,Resistance
Pf3D7_13_v3-1726174-1726408-2,Resistance
Pf3D7_14_v3-294503-294768-2,Resistance
